,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
8475,2014-063B,40276,ROCKET BODY,CZ-4C R/B,PRC,2014-10-20,TSC,,107.22,100.23,1204,992,,,0,LARGE,9059,2014,63,B,Y,CZ-4C R/B,2014-063B,40276
8476,2014-066A,40286,PAYLOAD,SJ-11-08,PRC,2014-10-27,JSC,,98.29,98.28,685,669,,,0,LARGE,9059,2014,66,A,Y,SJ-11-08,2014-066A,40286
8477,2014-066C,40288,DEBRIS,CZ-2C DEB,PRC,2014-10-27,JSC,,100.77,97.92,915,675,,,0,SMALL,9059,2014,66,C,Y,CZ-2C DEB,2014-066C,40288
8478,2014-066F,40291,DEBRIS,CZ-2C DEB,PRC,2014-10-27,JSC,,100.50,98.25,896,669,,,0,SMALL,9059,2014,66,F,Y,CZ-2C DEB,2014-066F,40291
8479,2014-072A,40310,PAYLOAD,YAOGAN 24,PRC,2014-11-20,JSC,,97.55,98.08,650,633,,,0,LARGE,9059,2014,72,A,Y,YAOGAN 24,2014-072A,40310
8480,2014-080A,40338,PAYLOAD,YAOGAN 25A,PRC,2014-12-10,JSC,,107.04,63.39,1332,847,,,0,LARGE,9059,2014,80,A,Y,YAOGAN 25A,2014-080A,40338
8481,2014-080C,40340,PAYLOAD,YAOGAN 25C,PRC,2014-12-10,JSC,,107.03,63.39,1332,847,,,0,LARGE,9059,2014,80,C,Y,YAOGAN 25C,2014-080C,40340
8482,2014-086A,40358,PAYLOAD,COSMOS 2502,CIS,2014-12-25,PKMTR,,103.02,67.15,908,896,,,0,LARGE,9059,2014,86,A,Y,COSMOS 2502,2014-086A,40358
8483,1995-015CA,40487,DEBRIS,DMSP 5D-2 F13 DEB,US,1995-03-24,AFWTR,,101.67,99.03,879,797,,,0,SMALL,9059,1995,15,CA,Y,DMSP 5D-2 F13 DEB,1995-015CA,40487
8484,1995-015CU,40508,DEBRIS,DMSP 5D-2 F13 DEB,US,1995-03-24,AFWTR,,101.55,99.04,867,797,,,0,SMALL,9059,1995,15,CU,Y,DMSP 5D-2 F13 DEB,1995-015CU,40508
8485,2015-020A,40552,PAYLOAD,GONETS M 11 (M21),CIS,2015-03-31,PKMTR,,115.86,82.49,1507,1482,,,0,LARGE,9059,2015,20,A,Y,GONETS M 11 (M21),2015-020A,40552
8486,2015-020C,40554,PAYLOAD,GONETS M 13 (M23),CIS,2015-03-31,PKMTR,,115.86,82.49,1504,1484,,,0,LARGE,9059,2015,20,C,Y,GONETS M 13 (M23),2015-020C,40554
8487,2015-020D,40555,PAYLOAD,COSMOS 2504,CIS,2015-03-31,PKMTR,,105.81,82.51,1485,580,,,0,MEDIUM,9059,2015,20,D,Y,COSMOS 2504,2015-020D,40555
