,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
25448,1977-012L,TANSEI 3 DEB,19314,JPN,132.66,65.38,3834.0,642.0,SMALL,0,1977-02-19,
25449,1975-004HP,DELTA 1 DEB,19311,US,100.49,97.63,879.0,685.0,SMALL,0,1975-01-22,
25450,1968-097ES,COSMOS 252 DEB,19309,CIS,110.43,62.37,1943.0,550.0,SMALL,0,1968-11-01,
25451,1976-077FJ,DELTA 1 DEB,19306,US,118.48,102.18,1729.0,1496.0,SMALL,0,1976-07-29,
25452,1961-015MC,THOR ABLESTAR DEB,19302,US,102.12,66.84,902.0,816.0,SMALL,0,1961-06-29,
25453,1963-014EL,WESTFORD NEEDLES,19299,US,166.05,87.27,3898.0,3361.0,MEDIUM,0,1963-05-09,
25454,1978-100AE,SL-14 DEB,19295,CIS,119.34,81.99,2045.0,1257.0,SMALL,0,1978-10-26,
25455,1968-097EE,COSMOS 252 DEB,19294,CIS,109.76,62.23,1694.0,737.0,SMALL,0,1968-11-01,
25456,1961-015MA,THOR ABLESTAR DEB,19293,US,109.72,66.99,1465.0,962.0,SMALL,0,1961-06-29,
25457,1973-086HD,DELTA 1 DEB,19291,US,115.08,101.79,1487.0,1430.0,SMALL,0,1973-11-06,
25458,1970-025PV,THORAD AGENA D DEB,19290,US,105.98,99.85,1060.0,1020.0,SMALL,0,1970-04-08,
25459,1988-059B,SL-12 R/B(2),19288,CIS,,,,,,0,1988-07-12,HELIOCENTRIC ORBIT (SUN)
25460,1988-059A,PHOBOS 2,19287,CIS,,,,,,0,1988-07-12,MARS ORBIT
25461,1988-058B,SL-12 R/B,19282,CIS,,,,,,0,1988-07-07,HELIOCENTRIC ORBIT (SUN)
25462,1988-058A,PHOBOS 1,19281,CIS,,,,,,0,1988-07-07,MARS ORBIT
25463,1988-056B,SL-14 R/B,19275,CIS,97.0,82.52,627.0,602.0,LARGE,0,1988-07-05,
25464,1988-056A,OKEAN 1,19274,CIS,94.52,82.47,506.0,485.0,LARGE,0,1988-07-05,
25465,1988-053D,SL-8 DEB,19261,CIS,98.78,74.05,707.0,694.0,SMALL,0,1988-06-21,
25466,1988-053C,SL-8 DEB,19260,CIS,98.74,74.06,703.0,694.0,SMALL,0,1988-06-21,
25467,1988-053B,SL-8 R/B,19257,CIS,100.1,74.05,778.0,748.0,LARGE,0,1988-06-21,
